"Native" "Bytes" "Description"
"337" "🌰" "\xF0\x9F\x8C\xB0" "CHESTNUT"
"338" "🌱" "\xF0\x9F\x8C\xB1" "SEEDLING"
"339" "🌴" "\xF0\x9F\x8C\xB4" "PALM TREE"
"340" "🌵" "\xF0\x9F\x8C\xB5" "CACTUS"
"341" "🌷" "\xF0\x9F\x8C\xB7" "TULIP"
"342" "🌸" "\xF0\x9F\x8C\xB8" "CHERRY BLOSSOM"
"343" "🌹" "\xF0\x9F\x8C\xB9" "ROSE"
"344" "🌺" "\xF0\x9F\x8C\xBA" "HIBISCUS"
"345" "🌻" "\xF0\x9F\x8C\xBB" "SUNFLOWER"
"346" "🌼" "\xF0\x9F\x8C\xBC" "BLOSSOM"
"347" "🌽" "\xF0\x9F\x8C\xBD" "EAR OF MAIZE"
"348" "🌾" "\xF0\x9F\x8C\xBE" "EAR OF RICE"
"349" "🌿" "\xF0\x9F\x8C\xBF" "HERB"
"350" "🍀" "\xF0\x9F\x8D\x80" "FOUR LEAF CLOVER"
"351" "🍁" "\xF0\x9F\x8D\x81" "MAPLE LEAF"
"352" "🍂" "\xF0\x9F\x8D\x82" "FALLEN LEAF"
"353" "🍃" "\xF0\x9F\x8D\x83" "LEAF FLUTTERING IN WIND"
"354" "🍄" "\xF0\x9F\x8D\x84" "MUSHROOM"
"355" "🍅" "\xF0\x9F\x8D\x85" "TOMATO"
"356" "🍆" "\xF0\x9F\x8D\x86" "AUBERGINE"
"357" "🍇" "\xF0\x9F\x8D\x87" "GRAPES"
"358" "🍈" "\xF0\x9F\x8D\x88" "MELON"
"359" "🍉" "\xF0\x9F\x8D\x89" "WATERMELON"
"360" "🍊" "\xF0\x9F\x8D\x8A" "TANGERINE"
"361" "🍌" "\xF0\x9F\x8D\x8C" "BANANA"
"362" "🍍" "\xF0\x9F\x8D\x8D" "PINEAPPLE"
"363" "🍎" "\xF0\x9F\x8D\x8E" "RED APPLE"
"364" "🍏" "\xF0\x9F\x8D\x8F" "GREEN APPLE"
"365" "🍑" "\xF0\x9F\x8D\x91" "PEACH"
"366" "🍒" "\xF0\x9F\x8D\x92" "CHERRIES"
"367" "🍓" "\xF0\x9F\x8D\x93" "STRAWBERRY"
"368" "🍔" "\xF0\x9F\x8D\x94" "HAMBURGER"
"369" "🍕" "\xF0\x9F\x8D\x95" "SLICE OF PIZZA"
"370" "🍖" "\xF0\x9F\x8D\x96" "MEAT ON BONE"
"371" "🍗" "\xF0\x9F\x8D\x97" "POULTRY LEG"
"372" "🍘" "\xF0\x9F\x8D\x98" "RICE CRACKER"
"373" "🍙" "\xF0\x9F\x8D\x99" "RICE BALL"
"374" "🍚" "\xF0\x9F\x8D\x9A" "COOKED RICE"
"375" "🍛" "\xF0\x9F\x8D\x9B" "CURRY AND RICE"
"376" "🍜" "\xF0\x9F\x8D\x9C" "STEAMING BOWL"
"377" "🍝" "\xF0\x9F\x8D\x9D" "SPAGHETTI"
"378" "🍞" "\xF0\x9F\x8D\x9E" "BREAD"
"379" "🍟" "\xF0\x9F\x8D\x9F" "FRENCH FRIES"
"380" "🍠" "\xF0\x9F\x8D\xA0" "ROASTED SWEET POTATO"
"381" "🍡" "\xF0\x9F\x8D\xA1" "DANGO"
"382" "🍢" "\xF0\x9F\x8D\xA2" "ODEN"
"383" "🍣" "\xF0\x9F\x8D\xA3" "SUSHI"
"384" "🍤" "\xF0\x9F\x8D\xA4" "FRIED SHRIMP"
"385" "🍥" "\xF0\x9F\x8D\xA5" "FISH CAKE WITH SWIRL DESIGN"
"386" "🍦" "\xF0\x9F\x8D\xA6" "SOFT ICE CREAM"
"387" "🍧" "\xF0\x9F\x8D\xA7" "SHAVED ICE"
"388" "🍨" "\xF0\x9F\x8D\xA8" "ICE CREAM"
"389" "🍩" "\xF0\x9F\x8D\xA9" "DOUGHNUT"
"390" "🍪" "\xF0\x9F\x8D\xAA" "COOKIE"
"391" "🍫" "\xF0\x9F\x8D\xAB" "CHOCOLATE BAR"
"392" "🍬" "\xF0\x9F\x8D\xAC" "CANDY"
"393" "🍭" "\xF0\x9F\x8D\xAD" "LOLLIPOP"
"394" "🍮" "\xF0\x9F\x8D\xAE" "CUSTARD"
"395" "🍯" "\xF0\x9F\x8D\xAF" "HONEY POT"
"396" "🍰" "\xF0\x9F\x8D\xB0" "SHORTCAKE"
"397" "🍱" "\xF0\x9F\x8D\xB1" "BENTO BOX"
"398" "🍲" "\xF0\x9F\x8D\xB2" "POT OF FOOD"
"399" "🍳" "\xF0\x9F\x8D\xB3" "COOKING"
"400" "🍴" "\xF0\x9F\x8D\xB4" "FORK AND KNIFE"
"401" "🍵" "\xF0\x9F\x8D\xB5" "TEACUP WITHOUT HANDLE"
"402" "🍶" "\xF0\x9F\x8D\xB6" "SAKE BOTTLE AND CUP"
"403" "🍷" "\xF0\x9F\x8D\xB7" "WINE GLASS"
"404" "🍸" "\xF0\x9F\x8D\xB8" "COCKTAIL GLASS"
"405" "🍹" "\xF0\x9F\x8D\xB9" "TROPICAL DRINK"
"406" "🍺" "\xF0\x9F\x8D\xBA" "BEER MUG"
"407" "🍻" "\xF0\x9F\x8D\xBB" "CLINKING BEER MUGS"
"408" "🎀" "\xF0\x9F\x8E\x80" "RIBBON"
"409" "🎁" "\xF0\x9F\x8E\x81" "WRAPPED PRESENT"
"410" "🎂" "\xF0\x9F\x8E\x82" "BIRTHDAY CAKE"
"411" "🎃" "\xF0\x9F\x8E\x83" "JACK-O-LANTERN"
"412" "🎄" "\xF0\x9F\x8E\x84" "CHRISTMAS TREE"
"413" "🎅" "\xF0\x9F\x8E\x85" "FATHER CHRISTMAS"
"414" "🎆" "\xF0\x9F\x8E\x86" "FIREWORKS"
"415" "🎇" "\xF0\x9F\x8E\x87" "FIREWORK SPARKLER"
"416" "🎈" "\xF0\x9F\x8E\x88" "BALLOON"
"417" "🎉" "\xF0\x9F\x8E\x89" "PARTY POPPER"
"418" "🎊" "\xF0\x9F\x8E\x8A" "CONFETTI BALL"
"419" "🎋" "\xF0\x9F\x8E\x8B" "TANABATA TREE"
"420" "🎌" "\xF0\x9F\x8E\x8C" "CROSSED FLAGS"
"421" "🎍" "\xF0\x9F\x8E\x8D" "PINE DECORATION"
"422" "🎎" "\xF0\x9F\x8E\x8E" "JAPANESE DOLLS"
"423" "🎏" "\xF0\x9F\x8E\x8F" "CARP STREAMER"
"424" "🎐" "\xF0\x9F\x8E\x90" "WIND CHIME"
"425" "🎑" "\xF0\x9F\x8E\x91" "MOON VIEWING CEREMONY"
"426" "🎒" "\xF0\x9F\x8E\x92" "SCHOOL SATCHEL"
"427" "🎓" "\xF0\x9F\x8E\x93" "GRADUATION CAP"
"428" "🎠" "\xF0\x9F\x8E\xA0" "CAROUSEL HORSE"
"429" "🎡" "\xF0\x9F\x8E\xA1" "FERRIS WHEEL"
"430" "🎢" "\xF0\x9F\x8E\xA2" "ROLLER COASTER"
"431" "🎣" "\xF0\x9F\x8E\xA3" "FISHING POLE AND FISH"
"432" "🎤" "\xF0\x9F\x8E\xA4" "MICROPHONE"
"433" "🎥" "\xF0\x9F\x8E\xA5" "MOVIE CAMERA"
"434" "🎦" "\xF0\x9F\x8E\xA6" "CINEMA"
"435" "🎧" "\xF0\x9F\x8E\xA7" "HEADPHONE"
"436" "🎨" "\xF0\x9F\x8E\xA8" "ARTIST PALETTE"
"437" "🎩" "\xF0\x9F\x8E\xA9" "TOP HAT"
"438" "🎪" "\xF0\x9F\x8E\xAA" "CIRCUS TENT"
"439" "🎫" "\xF0\x9F\x8E\xAB" "TICKET"
"440" "🎬" "\xF0\x9F\x8E\xAC" "CLAPPER BOARD"
"441" "🎭" "\xF0\x9F\x8E\xAD" "PERFORMING ARTS"
"442" "🎮" "\xF0\x9F\x8E\xAE" "VIDEO GAME"
"443" "🎯" "\xF0\x9F\x8E\xAF" "DIRECT HIT"
"444" "🎰" "\xF0\x9F\x8E\xB0" "SLOT MACHINE"
"445" "🎱" "\xF0\x9F\x8E\xB1" "BILLIARDS"
"446" "🎲" "\xF0\x9F\x8E\xB2" "GAME DIE"
"447" "🎳" "\xF0\x9F\x8E\xB3" "BOWLING"
"448" "🎴" "\xF0\x9F\x8E\xB4" "FLOWER PLAYING CARDS"
"449" "🎵" "\xF0\x9F\x8E\xB5" "MUSICAL NOTE"
"450" "🎶" "\xF0\x9F\x8E\xB6" "MULTIPLE MUSICAL NOTES"
"451" "🎷" "\xF0\x9F\x8E\xB7" "SAXOPHONE"
"452" "🎸" "\xF0\x9F\x8E\xB8" "GUITAR"
"453" "🎹" "\xF0\x9F\x8E\xB9" "MUSICAL KEYBOARD"
"454" "🎺" "\xF0\x9F\x8E\xBA" "TRUMPET"
"455" "🎻" "\xF0\x9F\x8E\xBB" "VIOLIN"
"456" "🎼" "\xF0\x9F\x8E\xBC" "MUSICAL SCORE"
"457" "🎽" "\xF0\x9F\x8E\xBD" "RUNNING SHIRT WITH SASH"
"458" "🎾" "\xF0\x9F\x8E\xBE" "TENNIS RACQUET AND BALL"
"459" "🎿" "\xF0\x9F\x8E\xBF" "SKI AND SKI BOOT"
"460" "🏀" "\xF0\x9F\x8F\x80" "BASKETBALL AND HOOP"
"461" "🏁" "\xF0\x9F\x8F\x81" "CHEQUERED FLAG"
"462" "🏂" "\xF0\x9F\x8F\x82" "SNOWBOARDER"
"463" "🏃" "\xF0\x9F\x8F\x83" "RUNNER"
"464" "🏄" "\xF0\x9F\x8F\x84" "SURFER"
"465" "🏆" "\xF0\x9F\x8F\x86" "TROPHY"
"466" "🏈" "\xF0\x9F\x8F\x88" "AMERICAN FOOTBALL"
"467" "🏊" "\xF0\x9F\x8F\x8A" "SWIMMER"
"468" "🏠" "\xF0\x9F\x8F\xA0" "HOUSE BUILDING"
"469" "🏡" "\xF0\x9F\x8F\xA1" "HOUSE WITH GARDEN"
"470" "🏢" "\xF0\x9F\x8F\xA2" "OFFICE BUILDING"
"471" "🏣" "\xF0\x9F\x8F\xA3" "JAPANESE POST OFFICE"
"472" "🏥" "\xF0\x9F\x8F\xA5" "HOSPITAL"
"473" "🏦" "\xF0\x9F\x8F\xA6" "BANK"
"474" "🏧" "\xF0\x9F\x8F\xA7" "AUTOMATED TELLER MACHINE"
"475" "🏨" "\xF0\x9F\x8F\xA8" "HOTEL"
"476" "🏩" "\xF0\x9F\x8F\xA9" "LOVE HOTEL"
"477" "🏪" "\xF0\x9F\x8F\xAA" "CONVENIENCE STORE"
"478" "🏫" "\xF0\x9F\x8F\xAB" "SCHOOL"
"479" "🏬" "\xF0\x9F\x8F\xAC" "DEPARTMENT STORE"
"480" "🏭" "\xF0\x9F\x8F\xAD" "FACTORY"
"481" "🏮" "\xF0\x9F\x8F\xAE" "IZAKAYA LANTERN"
"482" "🏯" "\xF0\x9F\x8F\xAF" "JAPANESE CASTLE"
"483" "🏰" "\xF0\x9F\x8F\xB0" "EUROPEAN CASTLE"
"484" "🐌" "\xF0\x9F\x90\x8C" "SNAIL"
"485" "🐍" "\xF0\x9F\x90\x8D" "SNAKE"
"486" "🐎" "\xF0\x9F\x90\x8E" "HORSE"
"487" "🐑" "\xF0\x9F\x90\x91" "SHEEP"
"488" "🐒" "\xF0\x9F\x90\x92" "MONKEY"
"489" "🐔" "\xF0\x9F\x90\x94" "CHICKEN"
"490" "🐗" "\xF0\x9F\x90\x97" "BOAR"
"491" "🐘" "\xF0\x9F\x90\x98" "ELEPHANT"
"492" "🐙" "\xF0\x9F\x90\x99" "OCTOPUS"
"493" "🐚" "\xF0\x9F\x90\x9A" "SPIRAL SHELL"
"494" "🐛" "\xF0\x9F\x90\x9B" "BUG"
"495" "🐜" "\xF0\x9F\x90\x9C" "ANT"
"496" "🐝" "\xF0\x9F\x90\x9D" "HONEYBEE"
"497" "🐞" "\xF0\x9F\x90\x9E" "LADY BEETLE"
"498" "🐟" "\xF0\x9F\x90\x9F" "FISH"
"499" "🐠" "\xF0\x9F\x90\xA0" "TROPICAL FISH"
"500" "🐡" "\xF0\x9F\x90\xA1" "BLOWFISH"
"501" "🐢" "\xF0\x9F\x90\xA2" "TURTLE"
"502" "🐣" "\xF0\x9F\x90\xA3" "HATCHING CHICK"
"503" "🐤" "\xF0\x9F\x90\xA4" "BABY CHICK"
"504" "🐥" "\xF0\x9F\x90\xA5" "FRONT-FACING BABY CHICK"
"505" "🐦" "\xF0\x9F\x90\xA6" "BIRD"
"506" "🐧" "\xF0\x9F\x90\xA7" "PENGUIN"
"507" "🐨" "\xF0\x9F\x90\xA8" "KOALA"
"508" "🐩" "\xF0\x9F\x90\xA9" "POODLE"
"509" "🐫" "\xF0\x9F\x90\xAB" "BACTRIAN CAMEL"
"510" "🐬" "\xF0\x9F\x90\xAC" "DOLPHIN"
"511" "🐭" "\xF0\x9F\x90\xAD" "MOUSE FACE"
"512" "🐮" "\xF0\x9F\x90\xAE" "COW FACE"
"513" "🐯" "\xF0\x9F\x90\xAF" "TIGER FACE"
"514" "🐰" "\xF0\x9F\x90\xB0" "RABBIT FACE"
"515" "🐱" "\xF0\x9F\x90\xB1" "CAT FACE"
"516" "🐲" "\xF0\x9F\x90\xB2" "DRAGON FACE"
"517" "🐳" "\xF0\x9F\x90\xB3" "SPOUTING WHALE"
"518" "🐴" "\xF0\x9F\x90\xB4" "HORSE FACE"
"519" "🐵" "\xF0\x9F\x90\xB5" "MONKEY FACE"
"520" "🐶" "\xF0\x9F\x90\xB6" "DOG FACE"
"521" "🐷" "\xF0\x9F\x90\xB7" "PIG FACE"
"522" "🐸" "\xF0\x9F\x90\xB8" "FROG FACE"
"523" "🐹" "\xF0\x9F\x90\xB9" "HAMSTER FACE"
"524" "🐺" "\xF0\x9F\x90\xBA" "WOLF FACE"
"525" "🐻" "\xF0\x9F\x90\xBB" "BEAR FACE"
"526" "🐼" "\xF0\x9F\x90\xBC" "PANDA FACE"
"527" "🐽" "\xF0\x9F\x90\xBD" "PIG NOSE"
"528" "🐾" "\xF0\x9F\x90\xBE" "PAW PRINTS"
"529" "👀" "\xF0\x9F\x91\x80" "EYES"
"530" "👂" "\xF0\x9F\x91\x82" "EAR"
"531" "👃" "\xF0\x9F\x91\x83" "NOSE"
"532" "👄" "\xF0\x9F\x91\x84" "MOUTH"
"533" "👅" "\xF0\x9F\x91\x85" "TONGUE"
"534" "👆" "\xF0\x9F\x91\x86" "WHITE UP POINTING BACKHAND INDEX"
"535" "👇" "\xF0\x9F\x91\x87" "WHITE DOWN POINTING BACKHAND INDEX"
"536" "👈" "\xF0\x9F\x91\x88" "WHITE LEFT POINTING BACKHAND INDEX"
"537" "👉" "\xF0\x9F\x91\x89" "WHITE RIGHT POINTING BACKHAND INDEX"
"538" "👊" "\xF0\x9F\x91\x8A" "FISTED HAND SIGN"
"539" "👋" "\xF0\x9F\x91\x8B" "WAVING HAND SIGN"
"540" "👌" "\xF0\x9F\x91\x8C" "OK HAND SIGN"
"541" "👍" "\xF0\x9F\x91\x8D" "THUMBS UP SIGN"
"542" "👎" "\xF0\x9F\x91\x8E" "THUMBS DOWN SIGN"
"543" "👏" "\xF0\x9F\x91\x8F" "CLAPPING HANDS SIGN"
"544" "👐" "\xF0\x9F\x91\x90" "OPEN HANDS SIGN"
"545" "👑" "\xF0\x9F\x91\x91" "CROWN"
"546" "👒" "\xF0\x9F\x91\x92" "WOMANS HAT"
"547" "👓" "\xF0\x9F\x91\x93" "EYEGLASSES"
"548" "👔" "\xF0\x9F\x91\x94" "NECKTIE"
"549" "👕" "\xF0\x9F\x91\x95" "T-SHIRT"
"550" "👖" "\xF0\x9F\x91\x96" "JEANS"
"551" "👗" "\xF0\x9F\x91\x97" "DRESS"
"552" "👘" "\xF0\x9F\x91\x98" "KIMONO"
"553" "👙" "\xF0\x9F\x91\x99" "BIKINI"
"554" "👚" "\xF0\x9F\x91\x9A" "WOMANS CLOTHES"
"555" "👛" "\xF0\x9F\x91\x9B" "PURSE"
"556" "👜" "\xF0\x9F\x91\x9C" "HANDBAG"
"557" "👝" "\xF0\x9F\x91\x9D" "POUCH"
"558" "👞" "\xF0\x9F\x91\x9E" "MANS SHOE"
"559" "👟" "\xF0\x9F\x91\x9F" "ATHLETIC SHOE"
"560" "👠" "\xF0\x9F\x91\xA0" "HIGH-HEELED SHOE"
"561" "👡" "\xF0\x9F\x91\xA1" "WOMANS SANDAL"
"562" "👢" "\xF0\x9F\x91\xA2" "WOMANS BOOTS"
"563" "👣" "\xF0\x9F\x91\xA3" "FOOTPRINTS"
"564" "👤" "\xF0\x9F\x91\xA4" "BUST IN SILHOUETTE"
"565" "👦" "\xF0\x9F\x91\xA6" "BOY"
"566" "👧" "\xF0\x9F\x91\xA7" "GIRL"
"567" "👨" "\xF0\x9F\x91\xA8" "MAN"
"568" "👩" "\xF0\x9F\x91\xA9" "WOMAN"
"569" "👪" "\xF0\x9F\x91\xAA" "FAMILY"
"570" "👫" "\xF0\x9F\x91\xAB" "MAN AND WOMAN HOLDING HANDS"
"571" "👮" "\xF0\x9F\x91\xAE" "POLICE OFFICER"
"572" "👯" "\xF0\x9F\x91\xAF" "WOMAN WITH BUNNY EARS"
"573" "👰" "\xF0\x9F\x91\xB0" "BRIDE WITH VEIL"
"574" "👱" "\xF0\x9F\x91\xB1" "PERSON WITH BLOND HAIR"
"575" "👲" "\xF0\x9F\x91\xB2" "MAN WITH GUA PI MAO"
"576" "👳" "\xF0\x9F\x91\xB3" "MAN WITH TURBAN"
"577" "👴" "\xF0\x9F\x91\xB4" "OLDER MAN"
"578" "👵" "\xF0\x9F\x91\xB5" "OLDER WOMAN"
"579" "👶" "\xF0\x9F\x91\xB6" "BABY"
"580" "👷" "\xF0\x9F\x91\xB7" "CONSTRUCTION WORKER"
"581" "👸" "\xF0\x9F\x91\xB8" "PRINCESS"
"582" "👹" "\xF0\x9F\x91\xB9" "JAPANESE OGRE"
"583" "👺" "\xF0\x9F\x91\xBA" "JAPANESE GOBLIN"
"584" "👻" "\xF0\x9F\x91\xBB" "GHOST"
"585" "👼" "\xF0\x9F\x91\xBC" "BABY ANGEL"
"586" "👽" "\xF0\x9F\x91\xBD" "EXTRATERRESTRIAL ALIEN"
"587" "👾" "\xF0\x9F\x91\xBE" "ALIEN MONSTER"
"588" "👿" "\xF0\x9F\x91\xBF" "IMP"
"589" "💀" "\xF0\x9F\x92\x80" "SKULL"
"590" "💁" "\xF0\x9F\x92\x81" "INFORMATION DESK PERSON"
"591" "💂" "\xF0\x9F\x92\x82" "GUARDSMAN"
"592" "💃" "\xF0\x9F\x92\x83" "DANCER"
"593" "💄" "\xF0\x9F\x92\x84" "LIPSTICK"
"594" "💅" "\xF0\x9F\x92\x85" "NAIL POLISH"
"595" "💆" "\xF0\x9F\x92\x86" "FACE MASSAGE"
"596" "💇" "\xF0\x9F\x92\x87" "HAIRCUT"
"597" "💈" "\xF0\x9F\x92\x88" "BARBER POLE"
"598" "💉" "\xF0\x9F\x92\x89" "SYRINGE"
"599" "💊" "\xF0\x9F\x92\x8A" "PILL"
"600" "💋" "\xF0\x9F\x92\x8B" "KISS MARK"
"601" "💌" "\xF0\x9F\x92\x8C" "LOVE LETTER"
"602" "💍" "\xF0\x9F\x92\x8D" "RING"
"603" "💎" "\xF0\x9F\x92\x8E" "GEM STONE"
"604" "💏" "\xF0\x9F\x92\x8F" "KISS"
"605" "💐" "\xF0\x9F\x92\x90" "BOUQUET"
"606" "💑" "\xF0\x9F\x92\x91" "COUPLE WITH HEART"
"607" "💒" "\xF0\x9F\x92\x92" "WEDDING"
"608" "💓" "\xF0\x9F\x92\x93" "BEATING HEART"
"609" "💔" "\xF0\x9F\x92\x94" "BROKEN HEART"
"610" "💕" "\xF0\x9F\x92\x95" "TWO HEARTS"
"611" "💖" "\xF0\x9F\x92\x96" "SPARKLING HEART"
"612" "💗" "\xF0\x9F\x92\x97" "GROWING HEART"
"613" "💘" "\xF0\x9F\x92\x98" "HEART WITH ARROW"
"614" "💙" "\xF0\x9F\x92\x99" "BLUE HEART"
"615" "💚" "\xF0\x9F\x92\x9A" "GREEN HEART"
"616" "💛" "\xF0\x9F\x92\x9B" "YELLOW HEART"
"617" "💜" "\xF0\x9F\x92\x9C" "PURPLE HEART"
"618" "💝" "\xF0\x9F\x92\x9D" "HEART WITH RIBBON"
"619" "💞" "\xF0\x9F\x92\x9E" "REVOLVING HEARTS"
"620" "💟" "\xF0\x9F\x92\x9F" "HEART DECORATION"
"621" "💠" "\xF0\x9F\x92\xA0" "DIAMOND SHAPE WITH A DOT INSIDE"
"622" "💡" "\xF0\x9F\x92\xA1" "ELECTRIC LIGHT BULB"
"623" "💢" "\xF0\x9F\x92\xA2" "ANGER SYMBOL"
"624" "💣" "\xF0\x9F\x92\xA3" "BOMB"
"625" "💤" "\xF0\x9F\x92\xA4" "SLEEPING SYMBOL"
"626" "💥" "\xF0\x9F\x92\xA5" "COLLISION SYMBOL"
"627" "💦" "\xF0\x9F\x92\xA6" "SPLASHING SWEAT SYMBOL"
"628" "💧" "\xF0\x9F\x92\xA7" "DROPLET"
"629" "💨" "\xF0\x9F\x92\xA8" "DASH SYMBOL"
"630" "💩" "\xF0\x9F\x92\xA9" "PILE OF POO"
"631" "💪" "\xF0\x9F\x92\xAA" "FLEXED BICEPS"
"632" "💫" "\xF0\x9F\x92\xAB" "DIZZY SYMBOL"
"633" "💬" "\xF0\x9F\x92\xAC" "SPEECH BALLOON"
"634" "💮" "\xF0\x9F\x92\xAE" "WHITE FLOWER"
"635" "💯" "\xF0\x9F\x92\xAF" "HUNDRED POINTS SYMBOL"
"636" "💰" "\xF0\x9F\x92\xB0" "MONEY BAG"
"637" "💱" "\xF0\x9F\x92\xB1" "CURRENCY EXCHANGE"
"638" "💲" "\xF0\x9F\x92\xB2" "HEAVY DOLLAR SIGN"
"639" "💳" "\xF0\x9F\x92\xB3" "CREDIT CARD"
"640" "💴" "\xF0\x9F\x92\xB4" "BANKNOTE WITH YEN SIGN"
"641" "💵" "\xF0\x9F\x92\xB5" "BANKNOTE WITH DOLLAR SIGN"
"642" "💸" "\xF0\x9F\x92\xB8" "MONEY WITH WINGS"
"643" "💹" "\xF0\x9F\x92\xB9" "CHART WITH UPWARDS TREND AND YEN SIGN"
"644" "💺" "\xF0\x9F\x92\xBA" "SEAT"
"645" "💻" "\xF0\x9F\x92\xBB" "PERSONAL COMPUTER"
"646" "💼" "\xF0\x9F\x92\xBC" "BRIEFCASE"
"647" "💽" "\xF0\x9F\x92\xBD" "MINIDISC"
"648" "💾" "\xF0\x9F\x92\xBE" "FLOPPY DISK"
"649" "💿" "\xF0\x9F\x92\xBF" "OPTICAL DISC"
"650" "📀" "\xF0\x9F\x93\x80" "DVD"
"651" "📁" "\xF0\x9F\x93\x81" "FILE FOLDER"
"652" "📂" "\xF0\x9F\x93\x82" "OPEN FILE FOLDER"
"653" "📃" "\xF0\x9F\x93\x83" "PAGE WITH CURL"
"654" "📄" "\xF0\x9F\x93\x84" "PAGE FACING UP"
"655" "📅" "\xF0\x9F\x93\x85" "CALENDAR"
"656" "📆" "\xF0\x9F\x93\x86" "TEAR-OFF CALENDAR"
"657" "📇" "\xF0\x9F\x93\x87" "CARD INDEX"
"658" "📈" "\xF0\x9F\x93\x88" "CHART WITH UPWARDS TREND"
"659" "📉" "\xF0\x9F\x93\x89" "CHART WITH DOWNWARDS TREND"
"660" "📊" "\xF0\x9F\x93\x8A" "BAR CHART"
"661" "📋" "\xF0\x9F\x93\x8B" "CLIPBOARD"
"662" "📌" "\xF0\x9F\x93\x8C" "PUSHPIN"
"663" "📍" "\xF0\x9F\x93\x8D" "ROUND PUSHPIN"
"664" "📎" "\xF0\x9F\x93\x8E" "PAPERCLIP"
"665" "📏" "\xF0\x9F\x93\x8F" "STRAIGHT RULER"
"666" "📐" "\xF0\x9F\x93\x90" "TRIANGULAR RULER"
"667" "📑" "\xF0\x9F\x93\x91" "BOOKMARK TABS"
"668" "📒" "\xF0\x9F\x93\x92" "LEDGER"
"669" "📓" "\xF0\x9F\x93\x93" "NOTEBOOK"
"670" "📔" "\xF0\x9F\x93\x94" "NOTEBOOK WITH DECORATIVE COVER"
"671" "📕" "\xF0\x9F\x93\x95" "CLOSED BOOK"
"672" "📖" "\xF0\x9F\x93\x96" "OPEN BOOK"
"673" "📗" "\xF0\x9F\x93\x97" "GREEN BOOK"
"674" "📘" "\xF0\x9F\x93\x98" "BLUE BOOK"
"675" "📙" "\xF0\x9F\x93\x99" "ORANGE BOOK"
"676" "📚" "\xF0\x9F\x93\x9A" "BOOKS"
"677" "📛" "\xF0\x9F\x93\x9B" "NAME BADGE"
"678" "📜" "\xF0\x9F\x93\x9C" "SCROLL"
"679" "📝" "\xF0\x9F\x93\x9D" "MEMO"
"680" "📞" "\xF0\x9F\x93\x9E" "TELEPHONE RECEIVER"
"681" "📟" "\xF0\x9F\x93\x9F" "PAGER"
"682" "📠" "\xF0\x9F\x93\xA0" "FAX MACHINE"
"683" "📡" "\xF0\x9F\x93\xA1" "SATELLITE ANTENNA"
"684" "📢" "\xF0\x9F\x93\xA2" "PUBLIC ADDRESS LOUDSPEAKER"
"685" "📣" "\xF0\x9F\x93\xA3" "CHEERING MEGAPHONE"
"686" "📤" "\xF0\x9F\x93\xA4" "OUTBOX TRAY"
"687" "📥" "\xF0\x9F\x93\xA5" "INBOX TRAY"
"688" "📦" "\xF0\x9F\x93\xA6" "PACKAGE"
"689" "📧" "\xF0\x9F\x93\xA7" "E-MAIL SYMBOL"
"690" "📨" "\xF0\x9F\x93\xA8" "INCOMING ENVELOPE"
"691" "📩" "\xF0\x9F\x93\xA9" "ENVELOPE WITH DOWNWARDS ARROW ABOVE"
"692" "📪" "\xF0\x9F\x93\xAA" "CLOSED MAILBOX WITH LOWERED FLAG"
"693" "📫" "\xF0\x9F\x93\xAB" "CLOSED MAILBOX WITH RAISED FLAG"
"694" "📮" "\xF0\x9F\x93\xAE" "POSTBOX"
"695" "📰" "\xF0\x9F\x93\xB0" "NEWSPAPER"
"696" "📱" "\xF0\x9F\x93\xB1" "MOBILE PHONE"
"697" "📲" "\xF0\x9F\x93\xB2" "MOBILE PHONE WITH RIGHTWARDS ARROW AT LEFT"
"698" "📳" "\xF0\x9F\x93\xB3" "VIBRATION MODE"
"699" "📴" "\xF0\x9F\x93\xB4" "MOBILE PHONE OFF"
"700" "📶" "\xF0\x9F\x93\xB6" "ANTENNA WITH BARS"
"701" "📷" "\xF0\x9F\x93\xB7" "CAMERA"
"702" "📹" "\xF0\x9F\x93\xB9" "VIDEO CAMERA"
"703" "📺" "\xF0\x9F\x93\xBA" "TELEVISION"
"704" "📻" "\xF0\x9F\x93\xBB" "RADIO"
"705" "📼" "\xF0\x9F\x93\xBC" "VIDEOCASSETTE"
"706" "🔃" "\xF0\x9F\x94\x83" "CLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS"
"707" "🔊" "\xF0\x9F\x94\x8A" "SPEAKER WITH THREE SOUND WAVES"
"708" "🔋" "\xF0\x9F\x94\x8B" "BATTERY"
"709" "🔌" "\xF0\x9F\x94\x8C" "ELECTRIC PLUG"
"710" "🔍" "\xF0\x9F\x94\x8D" "LEFT-POINTING MAGNIFYING GLASS"
"711" "🔎" "\xF0\x9F\x94\x8E" "RIGHT-POINTING MAGNIFYING GLASS"
"712" "🔏" "\xF0\x9F\x94\x8F" "LOCK WITH INK PEN"
"713" "🔐" "\xF0\x9F\x94\x90" "CLOSED LOCK WITH KEY"
"714" "🔑" "\xF0\x9F\x94\x91" "KEY"
"715" "🔒" "\xF0\x9F\x94\x92" "LOCK"
"716" "🔓" "\xF0\x9F\x94\x93" "OPEN LOCK"
"717" "🔔" "\xF0\x9F\x94\x94" "BELL"
