"Native" "Bytes" "Description"
"77" "✂" "\xE2\x9C\x82" "BLACK SCISSORS"
"78" "✅" "\xE2\x9C\x85" "WHITE HEAVY CHECK MARK"
"79" "✈" "\xE2\x9C\x88" "AIRPLANE"
"80" "✉" "\xE2\x9C\x89" "ENVELOPE"
"81" "✊" "\xE2\x9C\x8A" "RAISED FIST"
"82" "✋" "\xE2\x9C\x8B" "RAISED HAND"
"83" "✌" "\xE2\x9C\x8C" "VICTORY HAND"
"84" "✏" "\xE2\x9C\x8F" "PENCIL"
"85" "✒" "\xE2\x9C\x92" "BLACK NIB"
"86" "✔" "\xE2\x9C\x94" "HEAVY CHECK MARK"
"87" "✖" "\xE2\x9C\x96" "HEAVY MULTIPLICATION X"
"88" "✨" "\xE2\x9C\xA8" "SPARKLES"
"89" "✳" "\xE2\x9C\xB3" "EIGHT SPOKED ASTERISK"
"90" "✴" "\xE2\x9C\xB4" "EIGHT POINTED BLACK STAR"
"91" "❄" "\xE2\x9D\x84" "SNOWFLAKE"
"92" "❇" "\xE2\x9D\x87" "SPARKLE"
"93" "❌" "\xE2\x9D\x8C" "CROSS MARK"
"94" "❎" "\xE2\x9D\x8E" "NEGATIVE SQUARED CROSS MARK"
"95" "❓" "\xE2\x9D\x93" "BLACK QUESTION MARK ORNAMENT"
"96" "❔" "\xE2\x9D\x94" "WHITE QUESTION MARK ORNAMENT"
"97" "❕" "\xE2\x9D\x95" "WHITE EXCLAMATION MARK ORNAMENT"
"98" "❗" "\xE2\x9D\x97" "HEAVY EXCLAMATION MARK SYMBOL"
"99" "❤" "\xE2\x9D\xA4" "HEAVY BLACK HEART"
"100" "➕" "\xE2\x9E\x95" "HEAVY PLUS SIGN"
"101" "➖" "\xE2\x9E\x96" "HEAVY MINUS SIGN"
"102" "➗" "\xE2\x9E\x97" "HEAVY DIVISION SIGN"
"103" "➡" "\xE2\x9E\xA1" "BLACK RIGHTWARDS ARROW"
"104" "➰" "\xE2\x9E\xB0" "CURLY LOOP"
"105" "🚀" "\xF0\x9F\x9A\x80" "ROCKET"
"106" "🚃" "\xF0\x9F\x9A\x83" "RAILWAY CAR"
"107" "🚄" "\xF0\x9F\x9A\x84" "HIGH-SPEED TRAIN"
"108" "🚅" "\xF0\x9F\x9A\x85" "HIGH-SPEED TRAIN WITH BULLET NOSE"
"109" "🚇" "\xF0\x9F\x9A\x87" "METRO"
"110" "🚉" "\xF0\x9F\x9A\x89" "STATION"
"111" "🚌" "\xF0\x9F\x9A\x8C" "BUS"
"112" "🚏" "\xF0\x9F\x9A\x8F" "BUS STOP"
"113" "🚑" "\xF0\x9F\x9A\x91" "AMBULANCE"
"114" "🚒" "\xF0\x9F\x9A\x92" "FIRE ENGINE"
"115" "🚓" "\xF0\x9F\x9A\x93" "POLICE CAR"
"116" "🚕" "\xF0\x9F\x9A\x95" "TAXI"
"117" "🚗" "\xF0\x9F\x9A\x97" "AUTOMOBILE"
"118" "🚙" "\xF0\x9F\x9A\x99" "RECREATIONAL VEHICLE"
"119" "🚚" "\xF0\x9F\x9A\x9A" "DELIVERY TRUCK"
"120" "🚢" "\xF0\x9F\x9A\xA2" "SHIP"
"121" "🚤" "\xF0\x9F\x9A\xA4" "SPEEDBOAT"
"122" "🚥" "\xF0\x9F\x9A\xA5" "HORIZONTAL TRAFFIC LIGHT"
"123" "🚧" "\xF0\x9F\x9A\xA7" "CONSTRUCTION SIGN"
"124" "🚨" "\xF0\x9F\x9A\xA8" "POLICE CARS REVOLVING LIGHT"
"125" "🚩" "\xF0\x9F\x9A\xA9" "TRIANGULAR FLAG ON POST"
"126" "🚪" "\xF0\x9F\x9A\xAA" "DOOR"
"127" "🚫" "\xF0\x9F\x9A\xAB" "NO ENTRY SIGN"
"128" "🚬" "\xF0\x9F\x9A\xAC" "SMOKING SYMBOL"
"129" "🚭" "\xF0\x9F\x9A\xAD" "NO SMOKING SYMBOL"
"130" "🚲" "\xF0\x9F\x9A\xB2" "BICYCLE"
"131" "🚶" "\xF0\x9F\x9A\xB6" "PEDESTRIAN"
"132" "🚹" "\xF0\x9F\x9A\xB9" "MENS SYMBOL"
"133" "🚺" "\xF0\x9F\x9A\xBA" "WOMENS SYMBOL"
"134" "🚻" "\xF0\x9F\x9A\xBB" "RESTROOM"
"135" "🚼" "\xF0\x9F\x9A\xBC" "BABY SYMBOL"
"136" "🚽" "\xF0\x9F\x9A\xBD" "TOILET"
"137" "🚾" "\xF0\x9F\x9A\xBE" "WATER CLOSET"
"138" "🛀" "\xF0\x9F\x9B\x80" "BATH"
"139" "🚁" "\xF0\x9F\x9A\x81" "HELICOPTER"
"140" "🚂" "\xF0\x9F\x9A\x82" "STEAM LOCOMOTIVE"
"141" "🚆" "\xF0\x9F\x9A\x86" "TRAIN"
"142" "🚈" "\xF0\x9F\x9A\x88" "LIGHT RAIL"
"143" "🚊" "\xF0\x9F\x9A\x8A" "TRAM"
"144" "🚍" "\xF0\x9F\x9A\x8D" "ONCOMING BUS"
"145" "🚎" "\xF0\x9F\x9A\x8E" "TROLLEYBUS"
"146" "🚐" "\xF0\x9F\x9A\x90" "MINIBUS"
"147" "🚔" "\xF0\x9F\x9A\x94" "ONCOMING POLICE CAR"
"148" "🚖" "\xF0\x9F\x9A\x96" "ONCOMING TAXI"
"149" "🚘" "\xF0\x9F\x9A\x98" "ONCOMING AUTOMOBILE"
"150" "🚛" "\xF0\x9F\x9A\x9B" "ARTICULATED LORRY"
"151" "🚜" "\xF0\x9F\x9A\x9C" "TRACTOR"
"152" "🚝" "\xF0\x9F\x9A\x9D" "MONORAIL"
"153" "🚞" "\xF0\x9F\x9A\x9E" "MOUNTAIN RAILWAY"
"154" "🚟" "\xF0\x9F\x9A\x9F" "SUSPENSION RAILWAY"
"155" "🚠" "\xF0\x9F\x9A\xA0" "MOUNTAIN CABLEWAY"
"156" "🚡" "\xF0\x9F\x9A\xA1" "AERIAL TRAMWAY"
"157" "🚣" "\xF0\x9F\x9A\xA3" "ROWBOAT"
"158" "🚦" "\xF0\x9F\x9A\xA6" "VERTICAL TRAFFIC LIGHT"
"159" "🚮" "\xF0\x9F\x9A\xAE" "PUT LITTER IN ITS PLACE SYMBOL"
"160" "🚯" "\xF0\x9F\x9A\xAF" "DO NOT LITTER SYMBOL"
"161" "🚰" "\xF0\x9F\x9A\xB0" "POTABLE WATER SYMBOL"
"162" "🚱" "\xF0\x9F\x9A\xB1" "NON-POTABLE WATER SYMBOL"
"163" "🚳" "\xF0\x9F\x9A\xB3" "NO BICYCLES"
"164" "🚴" "\xF0\x9F\x9A\xB4" "BICYCLIST"
"165" "🚵" "\xF0\x9F\x9A\xB5" "MOUNTAIN BICYCLIST"
"166" "🚷" "\xF0\x9F\x9A\xB7" "NO PEDESTRIANS"
"167" "🚸" "\xF0\x9F\x9A\xB8" "CHILDREN CROSSING"
"168" "🚿" "\xF0\x9F\x9A\xBF" "SHOWER"
"169" "🛁" "\xF0\x9F\x9B\x81" "BATHTUB"
"170" "🛂" "\xF0\x9F\x9B\x82" "PASSPORT CONTROL"
"171" "🛃" "\xF0\x9F\x9B\x83" "CUSTOMS"
"172" "🛄" "\xF0\x9F\x9B\x84" "BAGGAGE CLAIM"
"173" "🛅" "\xF0\x9F\x9B\x85" "LEFT LUGGAGE"
"174" "Ⓜ" "\xE2\x93\x82" "CIRCLED LATIN CAPITAL LETTER M"
"175" "🅰" "\xF0\x9F\x85\xB0" "NEGATIVE SQUARED LATIN CAPITAL LETTER A"
"176" "🅱" "\xF0\x9F\x85\xB1" "NEGATIVE SQUARED LATIN CAPITAL LETTER B"
"177" "🅾" "\xF0\x9F\x85\xBE" "NEGATIVE SQUARED LATIN CAPITAL LETTER O"
"178" "🅿" "\xF0\x9F\x85\xBF" "NEGATIVE SQUARED LATIN CAPITAL LETTER P"
"179" "🆎" "\xF0\x9F\x86\x8E" "NEGATIVE SQUARED AB"
"180" "🆑" "\xF0\x9F\x86\x91" "SQUARED CL"
"181" "🆒" "\xF0\x9F\x86\x92" "SQUARED COOL"
"182" "🆓" "\xF0\x9F\x86\x93" "SQUARED FREE"
"183" "🆔" "\xF0\x9F\x86\x94" "SQUARED ID"
"184" "🆕" "\xF0\x9F\x86\x95" "SQUARED NEW"
"185" "🆖" "\xF0\x9F\x86\x96" "SQUARED NG"
